textPayload,insertId,resource.type,resource.labels.task_name,resource.labels.job_id,resource.labels.project_id,timestamp,severity,logName,receiveTimestamp,jsonPayload.pathname,jsonPayload.created,jsonPayload.lineno,jsonPayload.message,jsonPayload.levelname,"labels.""compute.googleapis.com/zone""","labels.""ml.googleapis.com/job_id/log_area""","labels.""compute.googleapis.com/resource_name""","labels.""ml.googleapis.com/trial_id""","labels.""compute.googleapis.com/resource_id"""
Job completed successfully.,ivrrl9byw,ml_job,service,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:05:48.392006314Z,INFO,projects/my-tf-2019/logs/ml.googleapis.com%2Fwals_ml_tune_20190530_044150,2019-06-01T16:05:50.071519043Z,,,,,,,,,,
,1wjka79fwgktt0,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:15.165798902Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:17.053559375Z,/runcloudml.py,1559404935.165799,959,Task completed successfully.,INFO,us-east1-c,root,cmle-training-8768946396881493982,500,5980542529355849264
,1wjka79fwgktsz,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:15.165014028Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:17.053559375Z,/runcloudml.py,1559404935.165014,957,Clean up finished.,INFO,us-east1-c,root,cmle-training-8768946396881493982,500,5980542529355849264
,1wjka79fwgktsy,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:15.164493083Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:17.053559375Z,/runcloudml.py,1559404935.164493,954,Module completed; cleaning up.,INFO,us-east1-c,root,cmle-training-8768946396881493982,500,5980542529355849264
,1wjka79fwgktsx,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:14.134366989Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:17.053559375Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559404934.134367,48,test RMSE = 2.55,INFO,us-east1-c,tensorflow,cmle-training-8768946396881493982,500,5980542529355849264
,1wjka79fwgktsw,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:14.133894920Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:17.053559375Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559404934.133895,47,train RMSE = 1.77,INFO,us-east1-c,tensorflow,cmle-training-8768946396881493982,500,5980542529355849264
,1wjka79fwgktsv,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:13.211081027Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:17.053559375Z,/usr/local/lib/python2.7/dist-packages/oauth2client/client.py,1559404933.211081,614,Attempting refresh to obtain initial access_token,INFO,us-east1-c,oauth2client.client,cmle-training-8768946396881493982,500,5980542529355849264
,1wjka79fwgktsu,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:11.921425104Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:17.053559375Z,/root/.local/lib/python2.7/site-packages/sh.py,1559404931.921425,628,"<Command u'/tools/google-cloud-sdk/bin/gsutil cp -r /tmp/500/* gs://recommendation-try/jobs/wals_ml_tune_20190530_044150/500/500/model', pid 604>: process completed",INFO,us-east1-c,sh.command,cmle-training-8768946396881493982,500,5980542529355849264
,opf6s8fzzw6yw,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:09.245637893Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:09.862053111Z,/root/.local/lib/python2.7/site-packages/sh.py,1559404929.245638,628,"<Command u'/tools/google-cloud-sdk/bin/gsutil cp -r /tmp/500/* gs://recommendation-try/jobs/wals_ml_tune_20190530_044150/500/500/model', pid 604>: process started",INFO,us-east1-c,sh.command,cmle-training-8768946396881493982,500,5980542529355849264
,opf6s8fzzw6yv,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:09.234309911Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:09.862053111Z,/root/.local/lib/python2.7/site-packages/sh.py,1559404929.23431,628,<Command u'/tools/google-cloud-sdk/bin/gsutil cp -r /tmp/500/* gs://recommendation-try/jobs/wals_ml_tune_20190530_044150/500/500/model'>: starting process,INFO,us-east1-c,sh.command,cmle-training-8768946396881493982,500,5980542529355849264
,opf6s8fzzw6yu,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:09.224811077Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:09.862053111Z,/root/.local/lib/python2.7/site-packages/trainer/model.py,1559404929.224811,282,Train Finish: 2019-06-01 16:02:09,INFO,us-east1-c,tensorflow,cmle-training-8768946396881493982,500,5980542529355849264
,opf6s8fzzw6yt,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:06.811969041Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:09.862053111Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559404926.811969,975,"Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla K80, pci bus id: 0000:00:04.0)",INFO,us-east1-c,root,cmle-training-8768946396881493982,500,5980542529355849264
,opf6s8fzzw6ys,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:06.811778068Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:09.862053111Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559404926.811778,916,"0:   Y ",INFO,us-east1-c,root,cmle-training-8768946396881493982,500,5980542529355849264
,opf6s8fzzw6yr,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:06.811569929Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:09.862053111Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559404926.81157,906,"DMA: 0 ",INFO,us-east1-c,root,cmle-training-8768946396881493982,500,5980542529355849264
,opf6s8fzzw6yq,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:06.811391115Z,ERROR,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:09.862053111Z,/runcloudml.py,1559404926.811391,325,Free memory: 11.10GiB,ERROR,us-east1-c,root,cmle-training-8768946396881493982,500,5980542529355849264
,opf6s8fzzw6yp,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:06.811218976Z,ERROR,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:09.862053111Z,/runcloudml.py,1559404926.811219,325,Total memory: 11.17GiB,ERROR,us-east1-c,root,cmle-training-8768946396881493982,500,5980542529355849264
,opf6s8fzzw6yo,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:06.811058998Z,ERROR,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:09.862053111Z,/runcloudml.py,1559404926.811059,325,pciBusID 0000:00:04.0,ERROR,us-east1-c,root,cmle-training-8768946396881493982,500,5980542529355849264
,opf6s8fzzw6yn,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:06.810895919Z,ERROR,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:09.862053111Z,/runcloudml.py,1559404926.810896,325,major: 3 minor: 7 memoryClockRate (GHz) 0.8235,ERROR,us-east1-c,root,cmle-training-8768946396881493982,500,5980542529355849264
,opf6s8fzzw6ym,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:06.810693025Z,ERROR,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:09.862053111Z,/runcloudml.py,1559404926.810693,325,name: Tesla K80,ERROR,us-east1-c,root,cmle-training-8768946396881493982,500,5980542529355849264
,opf6s8fzzw6yl,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:06.810458898Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:09.862053111Z,tensorflow/core/common_runtime/gpu/gpu_device.cc,1559404926.810459,885,"Found device 0 with properties: ",INFO,us-east1-c,root,cmle-training-8768946396881493982,500,5980542529355849264
,opf6s8fzzw6yk,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:06.810051918Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:09.862053111Z,tensorflow/stream_executor/cuda/cuda_gpu_executor.cc,1559404926.810052,910,"successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero",INFO,us-east1-c,root,cmle-training-8768946396881493982,500,5980542529355849264
,opf6s8fzzw6yj,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:06.724247932Z,WARNING,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:09.862053111Z,tensorflow/core/platform/cpu_feature_guard.cc,1559404926.724248,45,"The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.",WARNING,us-east1-c,root,cmle-training-8768946396881493982,500,5980542529355849264
,opf6s8fzzw6yi,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-06-01T16:02:06.723707914Z,WARNING,projects/my-tf-2019/logs/master-replica-0,2019-06-01T16:02:09.862053111Z,tensorflow/core/platform/cpu_feature_guard.cc,1559404926.723708,45,"The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.",WARNING,us-east1-c,root,cmle-training-8768946396881493982,500,5980542529355849264
